sampleid,age,sex,species,aging_method,extracted
AND42,5,M,Eidolon_dupreanum,tooth,Y
ANGB130,1,F,Eidolon_dupreanum,tooth,Y
ANGB131,1,F,Eidolon_dupreanum,tooth,Y
ANGB132,4,M,Eidolon_dupreanum,tooth,Y
CAT003,0.860273973,F,Eidolon_dupreanum,juvenile,Y
CAT017,3,F,Eidolon_dupreanum,tooth,Y
CAT018,1,F,Eidolon_dupreanum,tooth,Y
CAT019,2,M,Eidolon_dupreanum,tooth,Y
CAT021,1,F,Eidolon_dupreanum,tooth,Y
CAT026,1,F,Eidolon_dupreanum,tooth,Y
CAT027,3,M,Eidolon_dupreanum,tooth,Y
CAT028,0.967123288,F,Eidolon_dupreanum,juvenile,Y
CAT029,0.967123288,F,Eidolon_dupreanum,juvenile,Y
CAT032,4,F,Eidolon_dupreanum,tooth,Y
CAT033,0.967123288,M,Eidolon_dupreanum,juvenile,Y
CAT034,3,M,Eidolon_dupreanum,tooth,Y
CAT035,2,M,Eidolon_dupreanum,tooth,Y
CAT036,1,F,Eidolon_dupreanum,tooth,Y
CAT037,10,F,Eidolon_dupreanum,tooth,Y
KEL172,2.5,F,Eidolon_dupreanum,tooth,Y
KEL173,5.25,F,Eidolon_dupreanum,tooth,Y
KEL177,1,F,Eidolon_dupreanum,tooth,Y
KEL178,6,F,Eidolon_dupreanum,tooth,Y
KEL254,1,M,Eidolon_dupreanum,tooth,Y
KEL255,2,F,Eidolon_dupreanum,tooth,Y
KEL256,4,F,Eidolon_dupreanum,tooth,Y
KEL257,4,F,Eidolon_dupreanum,tooth,Y
KEL258,16,F,Eidolon_dupreanum,tooth,Y
KEL260,10,F,Eidolon_dupreanum,tooth,Y
KEL261,8,F,Eidolon_dupreanum,tooth,Y
KEL262,1,M,Eidolon_dupreanum,tooth,Y
KEL263,6,M,Eidolon_dupreanum,tooth,Y
KEL264,4,F,Eidolon_dupreanum,tooth,Y
KEL268B,0.320547945,M,Eidolon_dupreanum,juvenile,Y
KEL270B,0.5,F,Eidolon_dupreanum,tooth,Y
KEL275B,2,M,Eidolon_dupreanum,tooth,Y
KEL276B,2,M,Eidolon_dupreanum,tooth,Y
KEL277B,3,M,Eidolon_dupreanum,tooth,Y
KEL278B,6,F,Eidolon_dupreanum,tooth,Y
KEL279B,2,F,Eidolon_dupreanum,tooth,Y
KEL281,0.219178082,M,Eidolon_dupreanum,juvenile,Y
KEL284B,1,F,Eidolon_dupreanum,tooth,Y
KEL286,0.219178082,F,Eidolon_dupreanum,juvenile,Y
KEL290,4,M,Eidolon_dupreanum,tooth,Y
KEL291,4,F,Eidolon_dupreanum,tooth,Y
KEL295,2,M,Eidolon_dupreanum,tooth,Y
KEL296,6,F,Eidolon_dupreanum,tooth,Y
KEL297,5,M,Eidolon_dupreanum,tooth,Y
KEL298,3,M,Eidolon_dupreanum,tooth,Y
KEL309,6,F,Eidolon_dupreanum,tooth,Y
KEL312,1,M,Eidolon_dupreanum,tooth,Y
KEL313,8,F,Eidolon_dupreanum,tooth,Y
KEL317,1,M,Eidolon_dupreanum,tooth,Y
KEL326,2,F,Eidolon_dupreanum,tooth,Y
KEL327,0.430136986,F,Eidolon_dupreanum,juvenile,Y
KEL328,6,F,Eidolon_dupreanum,tooth,Y
KEL333,9,F,Eidolon_dupreanum,tooth,Y
KEL336,6,F,Eidolon_dupreanum,tooth,Y
KEL339,1,F,Eidolon_dupreanum,tooth,Y
KEL340,1,F,Eidolon_dupreanum,tooth,Y
