sampleid,bat_species,antigen,MFI,seropos_80_cutoff
AND41,Eidolon dupreanum,GhV,2097,1
AND42,Eidolon dupreanum,GhV,443.5,0
AND43,Eidolon dupreanum,GhV,475.5,0
AND44,Eidolon dupreanum,GhV,940.5,0
ANGB125,Eidolon dupreanum,GhV,292.75,0
ANGB126,Eidolon dupreanum,GhV,12.75,0
ANGB128,Eidolon dupreanum,GhV,70.25,0
ANGB129,Eidolon dupreanum,GhV,70.75,0
ANGB130,Eidolon dupreanum,GhV,6257.25,1
ANGB133,Eidolon dupreanum,GhV,154.75,0
ANGB135,Eidolon dupreanum,GhV,32.25,0
ANGB136,Eidolon dupreanum,GhV,16.75,0
ANGB137,Eidolon dupreanum,GhV,40.75,0
ANGB140,Eidolon dupreanum,GhV,107.75,0
ANGB141,Eidolon dupreanum,GhV,515.75,0
ANGB142,Eidolon dupreanum,GhV,251.75,0
ANGB143,Eidolon dupreanum,GhV,25.25,0
ANGB144,Eidolon dupreanum,GhV,10824,1
ANGB145,Eidolon dupreanum,GhV,7048,1
ANGB146,Eidolon dupreanum,GhV,27.75,0
ANGB147,Eidolon dupreanum,GhV,24,0
ANGB148,Eidolon dupreanum,GhV,3532,1
ANGB149,Eidolon dupreanum,GhV,19,0
ANGB150,Eidolon dupreanum,GhV,21227,1
ANGB151,Eidolon dupreanum,GhV,61.5,0
ANGB152,Eidolon dupreanum,GhV,4726,1
ANGB153,Eidolon dupreanum,GhV,2905.5,1
ANGB155,Eidolon dupreanum,GhV,12.25,0
ANGB156,Eidolon dupreanum,GhV,539.25,0
ANGB157,Eidolon dupreanum,GhV,24,0
ANGB158,Eidolon dupreanum,GhV,105.25,0
ANGB159,Eidolon dupreanum,GhV,24,0
ANGB160,Eidolon dupreanum,GhV,168,0
ANGB161,Eidolon dupreanum,GhV,14028,1
ANGB162,Eidolon dupreanum,GhV,2163,1
ANGB163,Eidolon dupreanum,GhV,20,0
CAT001,Eidolon dupreanum,GhV,516.5,0
CAT002,Eidolon dupreanum,GhV,763,0
CAT003,Eidolon dupreanum,GhV,2752.5,1
CAT004,Eidolon dupreanum,GhV,2283.5,1
CAT005,Eidolon dupreanum,GhV,8.5,0
CAT006,Eidolon dupreanum,GhV,851.5,0
CAT007,Eidolon dupreanum,GhV,1054,0
CAT008,Eidolon dupreanum,GhV,5742.5,1
CAT009,Eidolon dupreanum,GhV,83.5,0
CAT010,Eidolon dupreanum,GhV,30,0
CAT011,Eidolon dupreanum,GhV,45.5,0
CAT012,Eidolon dupreanum,GhV,308.5,0
CAT013,Eidolon dupreanum,GhV,1035,0
CAT014,Eidolon dupreanum,GhV,982.5,0
CAT015,Eidolon dupreanum,GhV,37.5,0
CAT016,Eidolon dupreanum,GhV,858.5,0
CAT017,Eidolon dupreanum,GhV,1069.25,0
CAT018,Eidolon dupreanum,GhV,9.25,0
CAT019,Eidolon dupreanum,GhV,809.25,0
CAT020,Eidolon dupreanum,GhV,1285.25,1
CAT021,Eidolon dupreanum,GhV,5286.25,1
CAT022,Eidolon dupreanum,GhV,1107.25,0
CAT023,Eidolon dupreanum,GhV,151.25,0
CAT024,Eidolon dupreanum,GhV,622.25,0
CAT025,Eidolon dupreanum,GhV,60.25,0
CAT026,Eidolon dupreanum,GhV,19.25,0
CAT027,Eidolon dupreanum,GhV,2933.25,1
CAT028,Eidolon dupreanum,GhV,114.25,0
CAT029,Eidolon dupreanum,GhV,323.75,0
CAT030,Eidolon dupreanum,GhV,1545.25,1
CAT031,Eidolon dupreanum,GhV,36.25,0
CAT032,Eidolon dupreanum,GhV,473.25,0
CAT033,Eidolon dupreanum,GhV,2765.25,1
CAT034,Eidolon dupreanum,GhV,186.75,0
CAT035,Eidolon dupreanum,GhV,123.25,0
CAT036,Eidolon dupreanum,GhV,963.25,0
CAT037,Eidolon dupreanum,GhV,1599.75,1
KEL148,Eidolon dupreanum,GhV,5091.75,1
KEL150,Eidolon dupreanum,GhV,177.75,0
KEL151,Eidolon dupreanum,GhV,138.75,0
KEL152,Eidolon dupreanum,GhV,44.25,0
KEL153,Eidolon dupreanum,GhV,389.75,0
KEL154,Eidolon dupreanum,GhV,2386.75,1
KEL155,Eidolon dupreanum,GhV,1521.75,1
KEL156,Eidolon dupreanum,GhV,363.75,0
KEL157,Eidolon dupreanum,GhV,1056.75,0
KEL159,Eidolon dupreanum,GhV,2919.75,1
KEL160,Eidolon dupreanum,GhV,816.25,0
KEL161,Eidolon dupreanum,GhV,4148.75,1
KEL162,Eidolon dupreanum,GhV,2521.25,1
KEL163,Eidolon dupreanum,GhV,47.75,0
KEL164,Eidolon dupreanum,GhV,6803.75,1
KEL165,Eidolon dupreanum,GhV,28.75,0
KEL166,Eidolon dupreanum,GhV,729.75,0
KEL168,Eidolon dupreanum,GhV,749.75,0
KEL169,Eidolon dupreanum,GhV,448.25,0
KEL170,Eidolon dupreanum,GhV,427.25,0
KEL171,Eidolon dupreanum,GhV,35.25,0
KEL172,Eidolon dupreanum,GhV,127.75,0
KEL173,Eidolon dupreanum,GhV,391.75,0
KEL174,Eidolon dupreanum,GhV,16.75,0
KEL175,Eidolon dupreanum,GhV,394.75,0
KEL177,Eidolon dupreanum,GhV,180.75,0
KEL178,Eidolon dupreanum,GhV,16.75,0
KEL179,Eidolon dupreanum,GhV,4139.75,1
KEL180,Eidolon dupreanum,GhV,36.75,0
KEL181,Eidolon dupreanum,GhV,5592.75,1
KEL182,Eidolon dupreanum,GhV,58.75,0
KEL183,Eidolon dupreanum,GhV,306.5,0
KEL185,Eidolon dupreanum,GhV,1113.5,0
KEL186,Eidolon dupreanum,GhV,1196.25,1
KEL187,Eidolon dupreanum,GhV,719.75,0
KEL188,Eidolon dupreanum,GhV,2053.75,1
KEL190,Eidolon dupreanum,GhV,446.5,0
KEL191,Eidolon dupreanum,GhV,405.75,0
KEL192,Eidolon dupreanum,GhV,181.75,0
KEL193,Eidolon dupreanum,GhV,1030.25,0
KEL195,Eidolon dupreanum,GhV,2199.75,1
KEL196,Eidolon dupreanum,GhV,765.75,0
KEL197,Eidolon dupreanum,GhV,16.75,0
KEL201,Eidolon dupreanum,GhV,88.25,0
KEL202,Eidolon dupreanum,GhV,76.75,0
KEL203,Eidolon dupreanum,GhV,184.75,0
KEL204,Eidolon dupreanum,GhV,2167.75,1
KEL205,Eidolon dupreanum,GhV,1149.25,1
KEL206,Eidolon dupreanum,GhV,5884.75,1
