,sampleid,processing_date,barcode_id,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,net_date,net_open_time,net_close_time,exit_count,capture_time,processing_time_start,processing_time_end,weather,bat_species,duplicated_sampleid,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,fed_bananas_before,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,hair_y_n,wing_punch,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,urine_vial,feces_vial,throat_vial,eppendorf_vol_ul,serum_aliquots_num,rbc_aliquots_num,buffy_coat_aliquots_num,rna_protect_vol_ul,slides_thin_num,slides_thick_num,filter_y_n,toothwear,temperature_f,notes,check_notes_y_n,performed_necropsy,spleen_rna_preserve,liver_rna_preserve,kidney_rna_preserve,brain_rna_preserve,spleen_plain,liver_plain,kidney_plain,brain_plain,liver_aluminum,kidney_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth_num,tooth_type,predicted_mass_g,mass_forearm_residual,recap_new
1,AMB124,2/23/18,1333,Ambakoana_Pruf,-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,yes,no,NA,NA,unknown,470,27.6,156,70.4,21.8,3.2,4.8,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,500,2,2,yes,mild,99.8 (9:15); 99.7 (9:18); 98.2 (9:27),very young. Likely young of the year though hard to tell. Tootk tooth. Fed sugar water and released after processing,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
2,AMB127,2/24/18,1336,Ambakoana_Pruf,-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,yes,no,NA,NA,unknown,550,27.6,159,73.4,24.3,9.4,11.2,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,500,2,2,yes,mild,96.7 (8:20),Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
3,AMB128,2/25/18,1337,Ambakoana_Pruf,-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,yes,no,NA,NA,unknown,390,21.9,144,69.04,21.2,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,500,2,2,yes,new,100 (6:53); 98.4 (7:00),Took tooth under anesthesia. Fed sugar water post-processing and again at dusk. Released in the evening following capture. Young of the year for sure. Teeth should show when the layer is set down,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
4,AMB133,2/28/18,1342,Ambakoana_Pruf,-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,370,23.4,155,68,25.5,16.4,17.1,yes,1,0,NA,0,0,0,NA,0,1,1,400,NA,NA,NA,400,2,2,yes,new,99.9 (7:32),Fed sugar water post-processing and again at dusk. Released in the evening following capture. Did not take tooth because pretty sure this is young of the year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
5,AMB137,3/1/18,1346,Ambakoana_Pruf,-18.513,48.1665,"CB, CR, AR, AFA",40,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,350,21.6,140.3,62.3,19.9,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,350,NA,NA,NA,350,1,0,yes,new,NA,Fed sugar water post-processing and again at dusk. Released in the evening following capture. Did not take tooth because pretty sure this is young of the year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
6,AMB140,4/16/18,1349,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR",44,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,315,23.5,138,64.3,27.2,4.7,1.3,yes,1,0,NA,0,0,0,NA,0,1,1,600,NA,NA,NA,400,2,1,yes,heavy,100 (8:50); 101.1 (9:31); 100.1 (9:34); 99.1 (9:36),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
7,AMB142,4/17/18,1351,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR",44,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,310,23,141,68.1,28.5,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,600,NA,NA,NA,400,2,1,yes,mild,98.5 (8:00); 98.4 (9:20); 99.5 (9:23); 98.1 (9:27),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
8,AMB144,4/17/18,1353,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR",44,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,460,23.5,151,72.9,27.8,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,600,NA,NA,NA,400,2,1,yes,mild,101.8 (8:47); 102.8 (8:50); 99.8 (8:53),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
9,AMB146,4/19/18,1355,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR",44,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,400,23,145,70.1,25.3,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,600,NA,NA,NA,400,2,1,yes,heavy,97.7 (7:40),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
10,AMB153,8/7/18,1363,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR, Noe",48,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,490,24,147.8,71.3,28.9,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,350,2,1,yes,mild,98.2 (9:03); 100 (9:05); 98.7 (9:08); 97.9 (9:11); 98.6 (9:12),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
11,AMB154,8/7/18,1364,Ambakoana_Pruf,-18.513,48.1665,"CR, AFA, AR, Noe",48,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,445,21.5,147.6,72,26.1,1.4,3.3,yes,1,0,NA,0,0,0,NA,0,1,1,400,NA,NA,NA,300,2,1,yes,mild,98.5 (9:25); 98.5 (9:25); 99.9 (9:27); 97.7 (9:30); 98.6 (9:34),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
12,AMB161,2/13/19,1377,Ambakoana_Pruf,-18.513,48.1665,"CB, KR, AG, AA, FR",61,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,320,22.1,137,67.8,29.2,small,small,yes,1,0,0,0,0,0,NA,0,1,1,500,NA,NA,NA,200,2,1,yes,mild,103.7 (11:48); 102.5 (12:19); 101.7 (12:25); 100.6 (12:29); 102.3 (12:35),"Young, likely born this year. Fed sugar water and released",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
13,AMB170,3/27/19,1385,Ambakoana_Pruf,-18.513,48.1665,"AA, AG, FR, KR",64,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,255,19.8,132.4,60.4,23.6,small,small,yes,1,0,0,0,0,0,NA,1,1,1,200,NA,NA,NA,100,2,1,yes,new,"97.4 (7:42), 97.4 (8:03)",didn?t take tooth bc young of year,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
68,MLB002,12/13/18,,Mahialambo_Pruf,-18.1102,48.2098,"CB, CR, AA, SG",52,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,MLB001,unknown,120,13,89.62,44.97,21.55,small,small,yes,1,0,NA,0,0,0,NA,1,1,1,400,NA,NA,NA,200,2,1,yes,new,NA,MLB001/002 urine sample from plastic bag tied to corner of pochon - can't distinguish from mother. Gave sugar water and released post-processing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
69,MLB003,12/14/18,,Mahialambo_Pruf,-18.1102,48.2098,"CB, CR, AA, SG",52,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,190,17,119.32,57.08,23.18,small,small,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,200,2,1,yes,new,NA,Mother escaped in net and left baby behid. Two adult teeth coming in and appeared to attempt to fly (seems early in the year for this!). Processed baby and released in tree close to net at dusk. Could not find the next day.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
70,MLB007,12/18/18,,Mahialambo_Pruf,-18.1102,48.2098,"CB, CR, AA, SG",52,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,yes,pup,MLB006,unknown,180,17,122.75,59.29,27.3,small,small,yes,1,0,NA,0,0,0,NA,1,1,1,500,NA,NA,NA,200,2,1,yes,new,NA,Gave sugar water and released post-processing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
71,MNG001,9/20/18,1017,Mangarivotra_Pruf,-18.2796,48.2394,"CB, CR, AFA, AR",51,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,325,20.9,138.1,67.2,23.2,4.6,1.6,yes,1,0,NA,0,0,0,NA,0,1,1,400,NA,NA,NA,350,2,1,yes,mild,97.4 (8:44); 97 (8:51),young of the year-- is there a cementum layer yet?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
72,MNG002,9/21/18,1016,Mangarivotra_Pruf,-18.2796,48.2394,"CB, CR, AFA, AR",51,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,435,20.8,146.5,62.4,31.6,2.6,1.5,yes,1,0,NA,0,0,0,NA,0,1,1,500,NA,NA,NA,400,2,1,yes,mild,99.5 (7:22); 97.6 (7:28); 96.8 (7:34),young of the year-- is there a cementum layer yet? Found dead two days later (9/24/2018) in tree. Took all 4 canines and tissues,NA,yes,1,1,1,1,1,1,1,1,1,NA,1,1,1,4,"LLC, LRC, ULC, URC",NA,NA,no
73,TSI003,6/17/19,1392,Marotsipohy_Pruf,-18.3926,48.1439,"AA, FR, AG",69,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,no,no,NA,NA,unknown,465,27.5,157,69.5,32,small,small,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,300,2,1,yes,mild,"98.9(8:07), 99.6(8:17), 97.3(8:25), 95.6(8:34), 94.6(8:43)","liquid nitrogen ran out days before returning from the mission, samples yellowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.3277869,-61.32778692,no
74,TSI005,7/17/19,1394,Marotsipohy_Pruf,-18.3926,48.1439,"KR, AA, FR, AG, PR",72,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,NA,no,NA,NA,unknown,440,24.7,144.2,69.8,30.9,small,small,yes,1,0,0,0,0,0,NA,NA,1,1,550,NA,NA,NA,200,2,1,yes,mild,"99.3 (11:01), 98.1 (11:34), 97.5 (11:47), 96.8 (11:56), 96.2 (12:05), 94.9 (12:16)",younger looking individual,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
75,TSI009,7/20/19,1398,Marotsipohy_Pruf,-18.3926,48.1439,"KR, AA, FR, AG, PR",72,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,NA,no,NA,NA,unknown,435,22.5,143.7,68.4,30,small,small,yes,1,0,0,0,0,0,NA,0,1,1,500,NA,NA,NA,200,2,1,yes,mild,"97.9 (10:49), 98.4 (11:15), 98.9 (11:34), 96.6 (11:43), 96.5 (11:50)",NA,NA,no,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,4,"lower left canine, lower right canine, upper left canine, upper right canine",NA,NA,no
76,TSI014,7/22/19,,Marotsipohy_Pruf,-18.3926,48.1439,"KR, AA, FR, AG, PR",72,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,A,NA,no,NA,NA,unknown,420,23.1,148.8,76.3,35.8,small,small,yes,1,0,0,0,0,0,NA,0,1,1,400,NA,NA,NA,0,0,0,yes,moderate,NA,mortality (found dead in net),NA,yes,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
77,TSI031,9/3/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",76,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,A,no,no,NA,NA,unknown,690,27.3,172,100,22.9,12.7,15.6,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,200,2,1,yes,moderate,"97.4 (7:40), 96.8 (7:53), 94.5 (8:03), L (8:11), 94.3 (8:19(",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.9619642,10.03803584,no
78,TSI033,9/4/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",76,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,455,22,149.3,73.9,26,receded,receded,yes,1,0,0,0,0,0,NA,0,1,1,500,NA,NA,NA,200,2,1,yes,mild,"97.6, 97.2 (12:56)","O2 low, couldn't take teeth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
79,TSI036,9/28/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,500,25.5,164,74.2,23.5,receded,receded,yes,1,0,0,0,0,0,NA,0,1,1,400,NA,NA,NA,200,2,1,yes,NA,"99.1 (14:46), 96.9 (15:10), 97.8 (15:14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
80,TSI039,9/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,470,22,150.5,71.7,22.9,receded,receded,yes,1,0,0,0,0,0,NA,1,1,1,500,NA,NA,NA,300,2,1,yes,mild,"97.5 (9:58), 97.6 (10:22), 97.4 (10:33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
81,TSI040,9/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,410,25.7,155,74.4,23,small,small,yes,1,0,0,0,0,0,NA,0,1,1,720,NA,NA,NA,400,2,1,yes,mild,"99.4 (10:52), 98 (11:13), 97.3 (11:17)",Left ear injury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
82,TSI041,9/20/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,410,23.2,143.1,62.7,26.2,receded,receded,yes,1,0,0,0,0,0,NA,0,1,1,600,NA,NA,NA,250,2,1,yes,NA,"97.6 (7:09), 96.9 (8:37), 96.8 (8:45)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
83,TSI042,9/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,TSI037,unknown,82,13.47,61.1,34.1,20.4,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
84,TSI043,9/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,TSI038,unknown,60,10.5,65.6,35.3,22.4,small,small,yes,1,0,0,0,0,0,NA,0,0,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
85,TSI045,10/4/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, FR, SA, SK, KF",79,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,no,no,NA,NA,unknown,485,24.7,151.5,72.7,27.3,9,5.7,NA,1,0,0,0,0,0,NA,1,1,1,700,NA,NA,NA,300,2,1,yes,moderate,"L (7:32), 95.7 (7:43), 95.9 (8:10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.8632294,-16.86322938,no
86,TSI049,10/26/19,,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,A,no,no,NA,NA,unknown,496,22.3,157.5,78,35.5,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,moderate,"106.9 (11:50), 98.2 9 (13:12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.7451191,-76.74511908,no
87,TSI051,10/27/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,TSI050,unknown,135,13.1,88,40.2,21.9,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
88,TSI055,10/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,TSI052,unknown,135,14.7,91.8,43.8,18,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
89,TSI056,10/29/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,NL,yes,no,NA,NA,unknown,480,24.4,154.7,75.5,27.3,small,small,yes,1,0,0,0,0,0,NA,0,1,1,1000,NA,NA,NA,300,2,1,yes,mild,98.02 (8:05),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
90,TSI059,10/31/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,yes,pup,TSI057,unknown,105,11.64,79.3,42.3,22.6,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
91,TSI060,10/31/19,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, SA, FR",83,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,yes,pup,TSI058,unknown,105,12.33,81.5,40.9,21.1,small,small,yes,1,0,0,0,0,0,NA,0,1,1,0,NA,NA,NA,0,0,0,no,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
92,TSI066,2/25/20,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, AS, AA, FR",92,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,315,22,142,61,34,S,S,yes,1,0,0,0,NA,0,NA,0,1,1,500,NA,NA,NA,200,2,1,yes,mild,"100.4 (8:34), 100.6 (8:34), 99.1 (8:37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
93,TSI071,2/28/20,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, AS, AA, FR",92,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,female,J,yes,no,NA,NA,unknown,350,23,100,65,23,S,S,yes,1,0,0,0,0,0,NA,0,1,1,550,NA,NA,NA,250,2,1,yes,mild,"101.0 (15:20), 100.3 (15:24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
94,TSI073,2/29/20,9.56E+14,Marotsipohy_Pruf,-18.3926,48.1439,"AG, AS, AA, FR",92,NA,NA,NA,NA,NA,NA,NA,NA,Pteropus rufus,,no,male,J,yes,no,NA,NA,unknown,326,25.3,152,71,25,S,S,yes,1,0,0,0,0,0,NA,1,1,1,700,NA,NA,NA,250,2,1,yes,mild,"104.2 (9:59), 101.8 (10:07), 102.3 (10:30), 101.6 (10:34)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
34,KEL281,2/5/19,857,Angavokely_Edup,-18.9327,47.7578,"CB, AA, FR, AG, KR",60,NA,NA,NA,NA,NA,NA,NA,NA,Eidolon dupreanum,,no,male,J,yes,NA,NA,NA,unknown,200,19.6,111.07,55.21,22.56,small,small,yes,1,NA,NA,NA,1,NA,NA,0,1,1,200,NA,NA,NA,400,2,1,yes,new,100.9 (22:21),NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
